instrument,timeframe,file,row_count,start_utc,end_utc,rows_before_cleaning,duplicates_collapsed,null_price_rows_dropped,ohlc_invalid_rows_dropped,volume_null_count,weekday_gap_count,largest_weekday_gap_hours,suspicious_gaps_over_72h,file_size_bytes,sha256
AUDCAD,H1,data/AUDCAD_H1.parquet,100000,2010-07-15T20:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,882,73.0,4,2476655,539a4ebac2d9d4a2469267752729ee6774d9b5a768a483e615ff022f90d8fc5a
AUDCAD,H4,data/AUDCAD_H4.parquet,25863,2010-07-15T08:00:00+00:00,2026-07-31T20:00:00+00:00,25863,0,0,0,0,853,72.0,0,939295,bfbd6871aa0522f3ce954e77333132acd1abd5d788349a0c9a2e6d19859b9629
AUDCAD,M15,data/AUDCAD_M15.parquet,100000,2022-07-26T12:45:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,253,72.25,1,2109672,f921055fb03db3b65d374c7ca35923b911e929f8ae22f020ae1e520cfc3e0c89
AUDCAD,M5,data/AUDCAD_M5.parquet,100000,2025-03-30T21:55:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,115,49.08,0,2011240,b3e4e79e077000c3e439bdc12ef13ac05f65c57fa1cc952eeda2b5814f8b4eb0
AUDCHF,H1,data/AUDCHF_H1.parquet,100000,2010-07-18T23:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,860,73.0,4,2928216,a90d359568c66f7f1b84e28808b43b1ea9b6ab60febb5040ac4a4689b5af36d9
AUDCHF,H4,data/AUDCHF_H4.parquet,25856,2010-07-16T12:00:00+00:00,2026-07-31T20:00:00+00:00,25856,0,0,0,0,853,72.0,0,1067149,27e9859c24af504a1b8feb0bd2d91a103103f937bd8c204fef81d354cf70502e
AUDCHF,M15,data/AUDCHF_M15.parquet,100000,2022-07-27T13:45:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,242,72.25,1,2188363,d79a2a54e4d60bcd52e3d44725e8409d7b6ce50248cf5506d036a7cda8bb7b34
AUDCHF,M5,data/AUDCHF_M5.parquet,100000,2025-03-31T18:40:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,112,49.08,0,1808987,0b79b162162981a99651cfe3b75f926769c1a408b4c5dd57e16dd8d748324529
AUDUSD,H1,data/AUDUSD_H1.parquet,100000,2010-07-16T11:00:00+00:00,2026-07-31T20:00:00+00:00,100000,0,0,0,0,858,73.0,4,2926626,57c2195a98743b77fc4ca916fb011a3089ae38ade37548a9fe3d5ed0e77e4478
AUDUSD,H4,data/AUDUSD_H4.parquet,25860,2010-07-15T20:00:00+00:00,2026-07-31T20:00:00+00:00,25860,0,0,0,0,853,72.0,0,1092743,51a3e2c418815113941c1e7472c4c656f30e3cfb3c97e536a1c3481e997d736a
AUDUSD,M15,data/AUDUSD_M15.parquet,100000,2022-07-28T03:15:00+00:00,2026-07-31T20:45:00+00:00,100000,0,0,0,0,222,72.25,1,2049441,a5b8ef0c56153e356958f35698e0809174c05fa244d6cbe81d6dff391b17aa8f
AUDUSD,M5,data/AUDUSD_M5.parquet,100000,2025-03-31T22:30:00+00:00,2026-07-31T20:55:00+00:00,100000,0,0,0,0,93,49.08,0,1960641,cebefbf0677ec189b560ff3d9e756665a43f66ca932acf0b612ec6c353cc66fb
