filename,instrument,timeframe,source_timezone
AUDCHF5.csv,AUDCHF,M5,GMT
AUDCHF15.csv,AUDCHF,M15,GMT
AUDCHF60.csv,AUDCHF,H1,GMT
AUDCHF240.csv,AUDCHF,H4,GMT
AUDCAD5.csv,AUDCAD,M5,GMT
AUDCAD15.csv,AUDCAD,M15,GMT
AUDCAD60.csv,AUDCAD,H1,GMT
AUDCAD240.csv,AUDCAD,H4,GMT
USDJPY5.csv,USDJPY,M5,GMT
USDJPY15.csv,USDJPY,M15,GMT
USDJPY60.csv,USDJPY,H1,GMT
USDJPY240.csv,USDJPY,H4,GMT
USDCHF5.csv,USDCHF,M5,GMT
USDCHF15.csv,USDCHF,M15,GMT
USDCHF60.csv,USDCHF,H1,GMT
USDCHF240.csv,USDCHF,H4,GMT
USDCAD5.csv,USDCAD,M5,GMT
USDCAD15.csv,USDCAD,M15,GMT
USDCAD60.csv,USDCAD,H1,GMT
USDCAD240.csv,USDCAD,H4,GMT
